t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
75.8,4,8047.477723271304,-105.76629924079992,10401.787038738952,186.25892889519258,118.42610952842789,-0.1625208406363721,3450.7166093159526,203.02263171495883,90.28557862000645,-3832.317492576799,15505.464329368262
75.9,4,8055.923668774443,-105.70084357260843,10409.128100495,186.26124300427605,118.42554476752507,-0.1616884033926095,3453.8311572082043,202.81786338910035,90.31579844804892,-3841.1838385692713,15521.844735547804
76.0,4,8064.599611444604,-105.62779666535538,10416.433161650519,186.26012875394127,118.42500571459574,-0.1608535538814374,3456.641403624487,202.561092710865,90.25547437994415,-3850.0500403542483,15538.225250817532
76.1,4,8073.512796849772,-105.56267004744319,10423.701576289719,186.26411353355667,118.42443969584706,-0.16002921437155035,3459.135832777432,202.38937741476997,90.35607171157882,-3858.9161872543327,15554.606043675129
76.2,4,8082.655050299456,-105.48998468045681,10430.933908786994,186.26467342821022,118.42389913459732,-0.15920256772389352,3461.33295452241,202.18274636220954,90.29142785436339,-3867.7822691736255,15570.987092962361
76.3,4,8092.031582024526,-105.42513261239854,10438.129512565713,186.27032938592782,118.42333194209414,-0.1583862692768225,3463.2154246987047,202.00028210469162,90.33735866816723,-3876.6483754246246,15587.368567111089
76.4,4,8101.640229363473,-105.35271503381882,10445.288953053976,186.27256335519323,118.4227899325727,-0.15756776810621875,3464.7933071496964,201.8721142156808,90.3675197285139,-3885.5144959358277,15603.750445030586
76.5,4,8111.477073613848,-105.28812143766794,10452.411582456798,186.2798903540051,118.4222215839586,-0.15675946554328457,3466.068778217608,201.69175928476884,90.31088292015815,-3894.3807199879843,15620.132895072142
76.6,4,8121.548764105543,-105.2159018305357,10459.497967206038,186.28379808497084,118.4216781076602,-0.15594907701922492,3467.030100595388,201.59580108045924,90.4113680290681,-3903.2470375174285,15636.515896208912
76.7,4,8131.847531710941,-105.15154377107939,10466.547458649427,186.29279610888025,118.42110854465706,-0.15514875538941555,3467.69607104972,201.464652367237,90.34915042000628,-3912.1135377691153,15652.899616730068
76.8,4,8142.378429531908,-105.07951018262312,10473.56062494701,186.29837767906486,118.42056352210761,-0.15434647516658306,3468.0490111629456,201.35719219857526,90.39698753750984,-3920.9802106883003,15669.284035693414
76.9,4,8153.1396167598505,-105.01533606299175,10480.536817439703,186.30904724836148,118.41999264867795,-0.15355413993919695,3468.099137035686,201.30352165646855,90.42804983927492,-3929.8471454945434,15685.66932135654
77.0,4,8164.126754037994,-104.9435018724253,10487.476606876418,186.31630325540925,118.41944598876601,-0.15275997200471414,3467.848608688939,201.19733231035724,90.37425949319702,-3938.7143321517447,15702.055452881106
